ID,Inizio (YYYY-MM-DD h:min:s),Inizio (DD/MM/YYYY),Fine (YYYY-MM-DD h:min:s),Fine (DD/MM/YYYY),Year,Value (μg.m-3),Comune,Indirizzo,Air Quality Station Area,Latitudine,Longitudine,EOL Code stazione,Tipo stazione,Provincia,Provincia (nome completo),Regione,Area,Area (macro)
SPO.IT1269A_20_GC-FID_2001-12-07_00:00:00,2019-03-24 22:00:00,24/03/2019,2019-03-24 23:00:00,24/03/2019,2019,"35,0248",Sarroch,"Via al Mare, 2, 09018 Sarroch CA, Italy",suburban,"39,07000","9,01667",IT1269A,industriale,CA,Cagliari,Sardegna,Isole,Sud e isole
SPO.IT2212A_20_GC-PID_2015-01-01_00:00:00,2017-12-25 22:00:00,25/12/2017,2017-12-25 23:00:00,25/12/2017,2017,35,San Vitaliano,"Via Appia, 177, 80030 San Vitaliano NA, Italy",urban,"40,92431","14,48133",IT2212A,fondo,NA,Napoli,Campania,Sud,Sud e isole
SPO.IT2212A_20_GC-PID_2015-01-01_00:00:00,2018-01-15 21:00:00,15/01/2018,2018-01-15 22:00:00,15/01/2018,2018,35,San Vitaliano,"Via Appia, 177, 80030 San Vitaliano NA, Italy",urban,"40,92431","14,48133",IT2212A,fondo,NA,Napoli,Campania,Sud,Sud e isole
SPO.IT1269A_20_GC-FID_2001-12-07_00:00:00,2022-08-22 0:00:00,22/08/2022,2022-08-22 1:00:00,22/08/2022,2022,"34,9866",Sarroch,"Via al Mare, 2, 09018 Sarroch CA, Italy",suburban,"39,07000","9,01667",IT1269A,industriale,CA,Cagliari,Sardegna,Isole,Sud e isole
SPO.IT1269A_20_GC-FID_2001-12-07_00:00:00,2020-08-30 18:00:00,30/08/2020,2020-08-30 19:00:00,30/08/2020,2020,"34,94058",Sarroch,"Via al Mare, 2, 09018 Sarroch CA, Italy",suburban,"39,07000","9,01667",IT1269A,industriale,CA,Cagliari,Sardegna,Isole,Sud e isole
SPO.IT2274A_20_GC-FID_2016-06-16_00:00:00,2019-12-21 2:00:00,21/12/2019,2019-12-21 3:00:00,21/12/2019,2019,"34,94",Porto Empedocle,"Via Spinola, 16, 92014 Porto Empedocle AG, Italy",suburban,"37,29189","13,53254",IT2274A,fondo,AG,Agrigento,Sicilia,Isole,Sud e isole
SPO.IT2274A_20_GC-FID_2016-06-16_00:00:00,2019-12-21 10:00:00,21/12/2019,2019-12-21 11:00:00,21/12/2019,2019,"34,91",Porto Empedocle,"Via Spinola, 16, 92014 Porto Empedocle AG, Italy",suburban,"37,29189","13,53254",IT2274A,fondo,AG,Agrigento,Sicilia,Isole,Sud e isole
SPO.IT0614A_20_GC-FID_2014-01-01_00:00:00,2016-05-27 23:00:00,27/05/2016,2016-05-28 0:00:00,28/05/2016,2016,"34,895304",Priolo Gargallo,"Via del Fico, 1, 96010 Priolo Gargallo SR, Italy",urban,"37,15612","15,19087",IT0614A,fondo,SR,Siracusa,Sicilia,Isole,Sud e isole
SPO.IT2087A_20_GC-PID_2014-10-14_00:00:00,2018-01-24 19:00:00,24/01/2018,2018-01-24 20:00:00,24/01/2018,2018,"34,86",Lamezia Terme,"Via Perugini, Lamezia Terme, CZ 88046, 88046 Lamezia Terme CZ, Italy",suburban,"38,95955","16,29517",IT2087A,fondo,CZ,Catanzaro,Calabria,Sud,Sud e isole
SPO.IT1947A_20_GC-FID_2009-07-14_00:00:00,2021-07-05 6:00:00,05/07/2021,2021-07-05 7:00:00,05/07/2021,2021,"34,8567",Sarroch,"Via Gioacchino Rossini, 25, 09018 Sarroch CA, Italy",urban,"39,06667","9,00889",IT1947A,fondo,CA,Cagliari,Sardegna,Isole,Sud e isole
